User_X,User_Y,AGV_distance_X,AGV_distance_Y,AGV_speed_X,AGV_speed_Y,AGV_speed,User_speed_X,User_speed_Y,User_speed,User_velocity_X,User_velocity_Y,Wait_time,intent_to_cross,Gazing_station,possible_interaction,facing_along_sidewalk,facing_to_road,On_sidewalks,On_road,closest_station,distance_to_closest_station,distance_to_closest_station_X,distance_to_closest_station_Y,looking_at_AGV,GazeDirection_X,GazeDirection_Y,GazeDirection_Z,AGV_X,AGV_Y,looking_at_closest_station
1299.55,8400.765,23.32591,0.69988,0.8162,6.6619,6.711713198,0.0469,0.0266,0.053918179,-0.0469,-0.0266,0.042857143,FALSE,4,FALSE,TRUE,FALSE,TRUE,FALSE,1,397.8803812,280.45,282.235,TRUE,0.761,-0.442,-0.475,3632.141,8330.777,TRUE
1299.55,8400.765,23.25004,1.34985,0.6538,6.5499,6.58244973,0,0,0,0,0,0.142857143,TRUE,4,FALSE,TRUE,TRUE,TRUE,FALSE,1,397.8803812,280.45,282.235,TRUE,0.759,-0.474,-0.446,3624.554,8265.78,TRUE
1299.55,8400.765,23.18679,1.99963,0.6503,6.5982,6.630168424,0,0,0,0,0,0.242857143,TRUE,4,FALSE,TRUE,TRUE,TRUE,FALSE,1,397.8803812,280.45,282.235,TRUE,0.741,-0.522,-0.422,3618.229,8200.802,TRUE
1299.55,8400.765,23.11567,2.6549,0.8008,6.6325,6.680668895,0,0,0,0,0,0.342857143,TRUE,4,FALSE,TRUE,TRUE,TRUE,FALSE,1,397.8803812,280.45,282.235,TRUE,0.702,-0.558,-0.443,3611.117,8135.275,TRUE
1299.55,8400.765,23.01767,3.29924,1.1515,6.3154,6.419519406,0,0,0,0,0,0.442857143,FALSE,4,FALSE,TRUE,TRUE,TRUE,FALSE,1,397.8803812,280.45,282.235,TRUE,0.66,-0.573,-0.487,3601.317,8070.841,FALSE
1299.55,8400.765,22.88165,3.94575,1.2572,6.4036,6.525844374,0,0,0,0,0,0.542857143,FALSE,4,FALSE,TRUE,TRUE,TRUE,FALSE,1,397.8803812,280.45,282.235,TRUE,0.637,-0.596,-0.489,3587.715,8006.19,FALSE
1299.55,8400.765,22.77149,4.59012,1.0584,6.4638,6.549879465,0,0,0,0,0,0.642857143,FALSE,4,FALSE,TRUE,TRUE,TRUE,FALSE,1,397.8803812,280.45,282.235,TRUE,0.62,-0.619,-0.483,3576.699,7941.753,FALSE
1299.55,8400.765,22.66246,5.23609,1.1284,6.4162,6.514668756,0,0,0,0,0,0.742857143,FALSE,4,FALSE,FALSE,TRUE,TRUE,FALSE,1,397.8803812,280.45,282.235,TRUE,0.605,-0.639,-0.476,3565.796,7877.156,FALSE
1299.639,8400.85,22.53492,5.87768,1.4217,6.4764,6.630609915,0.0273,0.0287,0.039610352,0.0273,0.0287,0.842857143,FALSE,4,FALSE,FALSE,TRUE,TRUE,FALSE,1,397.7573542,280.361,282.15,FALSE,0.594,-0.659,-0.461,3553.131,7813.082,FALSE
1300.01,8401.2,22.35984,6.51871,2.023,6.4043,6.716218243,0.0273,0.0217,0.034873772,0.0273,0.0217,0,FALSE,4,FALSE,FALSE,TRUE,TRUE,FALSE,1,397.2475804,279.99,281.8,FALSE,0.575,-0.686,-0.446,3535.994,7749.329,FALSE
1300.294,8401.413,22.12385,7.12439,2.611,6.0543,6.593320066,0.028,0.0203,0.034584534,0.028,0.0203,0,FALSE,4,FALSE,FALSE,TRUE,TRUE,FALSE,1,396.8963152,279.706,281.587,FALSE,0.548,-0.72,-0.427,3512.679,7688.974,FALSE
1300.294,8401.413,21.83847,7.71864,2.9883,5.7449,6.475632239,0,0,0,0,0,0,FALSE,4,FALSE,FALSE,TRUE,TRUE,FALSE,1,396.8963152,279.706,281.587,FALSE,0.525,-0.746,-0.41,3484.141,7629.549,FALSE
1300.294,8401.413,21.5153,8.29095,3.213,5.39,6.27498757,0,0,0,0,0,0,FALSE,4,FALSE,FALSE,TRUE,TRUE,FALSE,1,396.8963152,279.706,281.587,FALSE,0.51,-0.77,-0.385,3451.824,7572.318,FALSE
1300.294,8401.413,21.17455,8.86307,3.3082,5.6084,6.511400602,0,0,0,0,0,0,FALSE,2,FALSE,FALSE,TRUE,TRUE,FALSE,1,396.8963152,279.706,281.587,FALSE,0.497,-0.784,-0.371,3417.749,7515.106,FALSE
1300.294,8401.413,20.82211,9.4134,3.6204,5.2178,6.350805697,0,0,0,0,0,0,FALSE,2,FALSE,FALSE,TRUE,TRUE,FALSE,1,396.8963152,279.706,281.587,FALSE,0.481,-0.805,-0.348,3382.505,7460.073,FALSE
1300.294,8401.413,20.43439,9.94713,3.8997,5.3942,6.656204153,0,0,0,0,0,0,TRUE,2,FALSE,FALSE,TRUE,TRUE,FALSE,1,396.8963152,279.706,281.587,FALSE,0.459,-0.823,-0.335,3343.733,7406.7,TRUE
1300.294,8401.413,20.05596,10.48794,3.7009,5.3795,6.529600375,0,0,0,0,0,0,TRUE,2,FALSE,FALSE,TRUE,TRUE,FALSE,1,396.8963152,279.706,281.587,FALSE,0.414,-0.84,-0.352,3305.89,7352.619,TRUE
1300.294,8401.413,19.66729,11.01242,4.1895,5.2787,6.739182735,0,0,0,0,0,0,TRUE,2,FALSE,FALSE,TRUE,TRUE,FALSE,1,396.8963152,279.706,281.587,FALSE,0.373,-0.857,-0.355,3267.023,7300.171,TRUE
1300.294,8401.413,19.22929,11.49772,4.648,4.6522,6.576235157,0,0,0,0,0,0,TRUE,2,FALSE,FALSE,TRUE,TRUE,FALSE,1,396.8963152,279.706,281.587,FALSE,0.333,-0.874,-0.355,3223.223,7251.641,TRUE
1300.294,8401.413,18.74937,11.93647,5.0337,4.34,6.646332499,0,0,0,0,0,0,TRUE,2,FALSE,FALSE,TRUE,TRUE,FALSE,1,396.8963152,279.706,281.587,FALSE,0.333,-0.883,-0.331,3175.231,7207.766,TRUE
1300.294,8401.413,18.23684,12.36135,5.1051,4.2784,6.660837227,0,0,0,0,0,0,TRUE,2,FALSE,FALSE,TRUE,TRUE,FALSE,1,396.8963152,279.706,281.587,FALSE,0.33,-0.885,-0.327,3123.978,7165.278,TRUE
1300.294,8401.413,17.74096,12.78891,5.096,4.4471,6.763572607,0,0,0,0,0,0,TRUE,2,FALSE,FALSE,TRUE,TRUE,FALSE,1,396.8963152,279.706,281.587,FALSE,0.327,-0.891,-0.315,3074.39,7122.522,TRUE
